id,thumb_2048_url,captured_at,sequence,lat,long,orientation,rotation,f,k1,k2,sfm_lat,sfm_long
190384509592565,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An868rKu1P4BLN4HrdWqUu4im9esuA2_6_rC6y1gybkYyHbIEgx7qRGVbzW1aRpYWYklvBU4I-wj8pL5Sz3wY_iraNNadLhw-JfBl4enmseP9z-P3oi1OQkN85d4aJpeU8eszByPUl0x-ORGxevDzQ?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=HzjAam_mB-XYA88w-__UVQ&_nc_oc=Adk2XhHNG44OTP_jadUChDfIZI7k8PRlDJeB0oPDnrKFtT97Or_PjJE3RRUuL9dZ4oY&ccb=10-5&oh=00_Afdo_zdN7X1mVy1id1rwsvJL49BtIxvg7XZCrZXinx-gJA&oe=692B9153&_nc_sid=201bca,1486061733559,n4k0JDQfdeItNMf9OOwCUQ,41.905809,12.48231,337.2734,"[1.5483071388351, 0.31116154752169, -0.31116154752169]",0.805674748199,0.0294905840079,-0.0606761796511,41.905811000003,12.482297857143
303930317928095,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An9rd77YRUXViZI9tTIqTE4C1E5enPqL4RNk6R0W1zE6m2oTyy7xWIIG3nimBO0WyAQFqpl43al6OqpPwCdVMZf_aiNLJmLic-LZEShj0Uh0T4RL74yMk6oiH95UadHYzqcPyPrHMLZ8lqYYQorcJA?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=_z_n7u2Vo8Bt11AZNGcrsg&_nc_oc=Adk5Xxks3UKwwjQAMNyOk6EWg9YH-fwGHkSoBVJo9qPnlWwfMsXRAUtB14mbhATBNNs&ccb=10-5&oh=00_AfcXe0HFtee8Dj7tV7cu-MLXNmD6Wxf9h3kRDcf7ErTO3w&oe=692B97A5&_nc_sid=201bca,1486061735053,n4k0JDQfdeItNMf9OOwCUQ,41.90581,12.482309,3.416016,"[1.5702890649919, -0.04682475865235, 0.04682475865235]",0.805674748199,0.0294905840079,-0.0606761796511,41.90581,12.482309
339973640889465,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An8a9fXaHUzDqdg3ThCPLWy9sGaJkX-ePEgy_APSwcQoMz90VIer6LwSS5CG_LejeUZKCN1bNho-nQCU-DfHkCtbVc07h74alX64yJ3nj6W-V7oJGn13_lwiD-IrBygGwFq_9t6eFxRGM-HjuyF7TQ?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=vcMs9Rl-DicYVhM7XAo2Pw&_nc_oc=AdnwV2C49for1nhbK7Y5J15cJD0DD3wljq9VA5zakAEqa6C-IK5Mc8gNfsgAsnDo7eg&ccb=10-5&oh=00_AfeZiI_UAfsVqcmfaPd8DeVBm58VrNtnXdivIHBmASnytg&oe=692B7F1E&_nc_sid=201bca,1486061736852,n4k0JDQfdeItNMf9OOwCUQ,41.905816,12.482307,24.59448,"[1.5444509150183, -0.3366668235888, 0.3366668235888]",0.805674748199,0.0294905840079,-0.0606761796511,41.905816,12.482307
1951146195035728,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An9Ou3mK03ywnZZM0nVsu43_UUFTpkvpkxI9Bcxp5a_vX1r_5fVIC3O1BB4BJsfaN-xK7eFXa_FPxKLDyETffELZYHwApaFmYXX7Q0jjllOvIc1wWieoZ_JkzQ_Nlo_csmDFfvOS8P7rJb3O8x0t9w?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=SsNn70vbIfYHZYnetPpi1g&_nc_oc=AdniPkCM4XCWV3ubfBBzyVOjPN-kLHt0jP_aIBVFWgkMVJQth-j47O_AC9dCM-czZJg&ccb=10-5&oh=00_AfdO2SaCJTXgccuRTuqtyVGtoZUsbFsjKdpJUvlaH5rz8w&oe=692B7B3B&_nc_sid=201bca,1486061739383,n4k0JDQfdeItNMf9OOwCUQ,41.905827,12.482307,46.31067,"[1.476916433661, -0.63164481688226, 0.63164481688226]",0.805674748199,0.0294905840079,-0.0606761796511,41.905827,12.482307
367029038020395,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An_oAca5esJfB5ghg7YPpUcsY6ALPN1hFPEipFsi_WlhLD-0N62hpFG_gPKSdwWWnkJPdpc5bVP6MZKq9o87lGOiWUcIMT1_Kp7aswaPM5eZfkxwWKWsnnXE5YHDbA2OrHXnDOXnu-uJw8jC9wBIKg?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=0OQmcT2Pdd9QZS23SRMiuQ&_nc_oc=AdmmhKQ95L5M08pfXKfsIrbqC7H767uuzKK99UtQqp1md_4Jxt89MNs4lTP0eoh-aiE&ccb=10-5&oh=00_Afe6UW5n7WLOJ7fE5LNvpjxVjpDBgrLLPTOKIUtF4v1Kfg&oe=692B777C&_nc_sid=201bca,1486061742940,n4k0JDQfdeItNMf9OOwCUQ,41.905823,12.482315,63.98981,"[1.3904078937735, -0.86865137044439, 0.86865137044439]",0.805674748199,0.0294905840079,-0.0606761796511,41.905821833333,12.482305333333
273809294428041,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An9l-OFZOzKmI7sga9eQyDVkDsrCQBNdvc94kqjDydiaKi4PSui8Q3ecUzm-EgRevoF1SvATm2mVh8tGaYcoqG5Vcl0JqMqokSB7UJXIkfMPCvRMgU3pEV6iElGt60udGtflUyMLxC9rn5shScQ4ZQ?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=4yuAm2F4mnp7ZKRrGNctWw&_nc_oc=AdlkPFlyITiIUBDxdfeVtoj-bi1_kgKtDc2c7LGRT29dSYXhx3YBuiax0x20PCPaXOI&ccb=10-5&oh=00_Affvg-J3t-GHCNcbfo1yFSEkjZCyTXiv-xOUq5tVfsIyfA&oe=692B8AF1&_nc_sid=201bca,1486061745158,n4k0JDQfdeItNMf9OOwCUQ,41.905831,12.482301,82.6983,"[1.2667675367743, -1.1148092886, 1.1148092886]",0.805674748199,0.0294905840079,-0.0606761796511,41.905831,12.482301
462147301727489,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An9bZ00r-wYSRIKJ7amLI8am4uItx41K1pR36AMwyJk_3M5y7tAg1gZvKAJGBEU3DOfIBnKKuzP_C3qW8gdp_KHtHNQQFHRf-ggEoyaTaqbougVMz6zXQcSgzb8FRKP4YZgp8Imj9cSJORrmH--4Mw?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=ZKvCs81MsqksUy26euUjFQ&_nc_oc=Adl4EzbIR4bND_4YxsVEAC2wBAC6WwB9wZ0__kydSUuyAC_tXH-OF6F-q7YxI0Tla7k&ccb=10-5&oh=00_AfeMuJTZAcu8bFiF8AvhEU8e8FNCLbkA4nc6T6_N0i-SwQ&oe=692B956E&_nc_sid=201bca,1486061747748,n4k0JDQfdeItNMf9OOwCUQ,41.905828,12.482305,108.1342,"[1.0424995005099, -1.438416942273, 1.438416942273]",0.805674748199,0.0294905840079,-0.0606761796511,41.905828,12.482305
481356716346087,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An_ycwNW7kWV-GCkf2QDEk9OTCnm1J3cKeHjSSzSHT1gOT2BD8Qm7cm3GNyTnk4xeZLH4x7IHbF99nuP5ZFAqfktyZMUqzqb4buYzfmh6V6U8r8MAZoSVC1Eum2IClNn8Wygxw75NOTI3aGDXWT_Vw?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=h_R3m33N_22PRPmb23kK9A&_nc_oc=AdkjXvXW6vTPq_xRYFRE5wtkyPVnKoEviMz_u9IUzKzF5slkZ_DhP7h9V3UAkb4LVs0&ccb=10-5&oh=00_AfcxDvnv0RFvEneatF9ovUC824t8tABRTtSuzprHM8fE5Q&oe=692B7499&_nc_sid=201bca,1486061750390,n4k0JDQfdeItNMf9OOwCUQ,41.905827,12.482288,128.636,"[0.81084399630659, -1.6861647988608, 1.6861647988608]",0.805674748199,0.0294905840079,-0.0606761796511,41.905827,12.482288
764685014199505,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An8NE6ke_qONCcET7bvqzzL0fgT4cPeWRS6FZhp3UOt6fMd2qRP7f2ldLV6rlaF_7dlTxSGFHljvZ4qFbQrIhPfVFwOkbl-HF8CZ2__SxIcjUEid2UZ7a8d3dBBlPQMgnCq1P7ZP46iyKyr0x07M0g?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=ixK4LZEcnEO0RiqyzarVPQ&_nc_oc=Adkz76QDS1jAmy89PAPJTCfjZiRtCPzh0LLASfVWmYswXaMKvja8gpei4QoYGfI1KTo&ccb=10-5&oh=00_AffxMvFWYwIkOZZIKArCDICy9Rv0tWvGCHgkU8IPyagSjw&oe=692B7663&_nc_sid=201bca,1486061752064,n4k0JDQfdeItNMf9OOwCUQ,41.905825,12.482298,151.865,"[0.48783841939194, -1.9468393146081, 1.9468393146081]",0.805674748199,0.0294905840079,-0.0606761796511,41.905825,12.482298
304419531305696,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An8VPWwjzqbCiCcLOSEDj21V0VNafn2tLoTsJGS-NiP2_Pji7SpHz6LN-E7sLMUtzPtuXx69We8adoXq-jEEWE2RDTj_n2PuQWtf4KCne7GSaYB9_Z0jWLNJwGNz2dib4cQkLMEFNLbiLMWAyjGRdw?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=lbbTSwGp4vh7zSf19zFcbQ&_nc_oc=Adn0JqGJYvaws0J4NMnRZ-KKTet3s0jyg0U6s_JW46sqZJ12n0Fehf75CHnN8jShXmM&ccb=10-5&oh=00_AffYngiL9iaBirIg11Cf3vGJsiYOgKTvwCiF2dirN98C_Q&oe=692B878C&_nc_sid=201bca,1486061755122,n4k0JDQfdeItNMf9OOwCUQ,41.905819,12.482315,174.4993,"[0.10435131449948, -2.1721951405737, 2.1721951405737]",0.805674748199,0.0294905840079,-0.0606761796511,41.905819,12.482315
4232333256798703,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An90PNeYB0KhQ0CHPqz67J9F4C6TEsW2C3Mf4PiYyBXFlT_isNYfSVPr0Br3__G-y6r2laIKyXcwaRpH7GGG3yXNU2w0_73yVsuJ2ERr9nYXYT8yT5xmD3JpGGrOjJz1hqB5oisk-vZAAG45QRVlFg?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=YVXHpJ1N-bGy1F3fGRojZQ&_nc_oc=AdnnLmYo_NYRIUfnqik8p8khfFaSgX1YTTfY7c1WI3ekwg9xv75mvBZAyOoK_dGJ9mU&ccb=10-5&oh=00_AfeBuPbVAyKrZBi9OCYYFUkGu8vvVHr3VleiFX7wMZ1Lhw&oe=692B6553&_nc_sid=201bca,1486061757066,n4k0JDQfdeItNMf9OOwCUQ,41.905809,12.482315,195.911,"[0.28966039813256, 2.0727202844413, -2.0727202844413]",0.805674748199,0.0294905840079,-0.0606761796511,41.905809,12.482315
788402008462473,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An-puXmNoAGV1qB5ADzBlyH0U7xCWah1WGHq8os88GzoFl06oAOHIq4Yntv2plH8MSSs6MnTkRVqA-O0aTqDJ_Rk-SWiLw6GDCBs_6-2Gpf-mejqr_pb3voAVKT85vWI6WlOvC9ueT7JzB5rf8Q4wQ?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=6pT6erO3SqKj4hVP-wGJAg&_nc_oc=Adk7dAZJvywjp-I3LyDN5kXXeOhjb46naZpANhm-usyH4aSnmc5wd3jPHJRo2r5DxLI&ccb=10-5&oh=00_Afd3fZfcCU0sjTZLKHuLqkyVNsanGFxjwOvakFw9AidElg&oe=692B8119&_nc_sid=201bca,1486061760307,n4k0JDQfdeItNMf9OOwCUQ,41.905806,12.482348,220.6919,"[0.67081820836872, 1.8089973120868, -1.8089973120868]",0.805674748199,0.0294905840079,-0.0606761796511,41.905806,12.482348
180258693949912,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An9J70dJgRjmQcvA0OuQBkCUrxcYdQeDkBIKxecn0Ctp-j_PswJ1lHGFrdy1EWmtFb4jsV4RW6nS3oxtH9B9DdxfKAum8_M5rLh4q4DoMMiQqo9S3FxlpFT-9wYALTmlFkKyORO3woEIUjxapK3H87w?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=d-B5XTJlKRnFKVFNV5dayg&_nc_oc=AdmUMS_WZHIT-jLZyxK_ZMugow-uJFiTZYLBMjdLNrz7P_iWdfoRw07-TBPxPToURAI&ccb=10-5&oh=00_AfeYx4wFTgfth1MCiZFoZwOsJ-3dODR6Wh_B4TjqRMB5Nw&oe=692B94DD&_nc_sid=201bca,1486061761892,n4k0JDQfdeItNMf9OOwCUQ,41.905809,12.482285,231.4789,"[0.81227693966498, 1.6848171275251, -1.6848171275251]",0.805674748199,0.0294905840079,-0.0606761796511,41.905809,12.482285
2747790412198843,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An_zg7lRIj8DcBmRZwHSn9gD34zgC14scae_ytY4C0ge7_2g1ogiwe9aR8QsUHrHdjnGkgjXNfnRRplCbqp2oK6dlI0YNFhRlubekl3_go4gZAj2zk0Fv60Civmko6iVYhCksMaNxdmYHI1TgUZIQA?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=CGDi-XF5yaj2ZvBr6rCq0g&_nc_oc=Adn48lR7AdZ9Sl0bU7n78M3DO4G-nXXTAkOhMGjHO8xLN-otti01L2AgbpLsMRjp5OY&ccb=10-5&oh=00_AfcXUU7_zoyTy2k73Q4s6jEnCn68gVs4xD_nhHM_Jzu8Lg&oe=692B6B5C&_nc_sid=201bca,1486061763754,n4k0JDQfdeItNMf9OOwCUQ,41.905816,12.482258,252.1856,"[1.0457413425047, 1.4344479380454, -1.4344479380454]",0.805674748199,0.0294905840079,-0.0606761796511,41.905816,12.482258
306713820894516,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An9DMdTJSCOVM8PxzdTxNFFtKQQrE7DOqT4yMg3U-fbaMEz0k1BD-nHUZToNaoCivpEslERejvdgPoXm0SctbcPsZx1lYa6hkBZpHwq8oZVpevFDDJQvRi88GJYFz7vKCyFpezd007YCw06VgJ119TU?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=9MBl8wgqweboPpkZ5TwZnQ&_nc_oc=AdnaMt5-MkD1lGgjb3-RmV-DPhH6CrgfVz_7nPcEfxoscwyqdMPaDnUR_CL4cfyNs58&ccb=10-5&oh=00_AffI2fybVs7yF-tE1q10KEPn4tY9dS6XEXl7sylxwZhjbg&oe=692B7AF3&_nc_sid=201bca,1486061766103,n4k0JDQfdeItNMf9OOwCUQ,41.905818,12.48226,276.4819,"[1.2605698143746, 1.125459350216, -1.125459350216]",0.805674748199,0.0294905840079,-0.0606761796511,41.905818,12.48226
3901194019972102,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An_ZRCC2PYBo27nzdvTQWz9bdUU_Dgb8h8Pg7IqnNgFLNiHM6HXSAAiMkHvuXpjqL0HSdRK2PRfOfrm16mpptUAreN1qNMXFdDmMnViG6vzII28lw_Ia6gco7WdeZUYTwrM4LFS0IhTzzCGtJXOixkM?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=eAfU9k8Xkh8NSAhmGJ92Lg&_nc_oc=AdkaFR4E0KkUpBnY0vKJP100y9RaPRcohy2HfmNSX2DP-TrSGzX4LDRVWSGJ-U0a_2U&ccb=10-5&oh=00_AffAtjV7gwgleasU56i0_zQtWkAAQlcpSpLiMf3uSZAtMg&oe=692B82C9&_nc_sid=201bca,1486061769269,n4k0JDQfdeItNMf9OOwCUQ,41.905807,12.482286,293.0907,"[1.3733240834099, 0.90742099994818, -0.90742099994818]",0.805674748199,0.0294905840079,-0.0606761796511,41.905807,12.482286
